,Absolute Magnitude,Relative Velocity km per sec,Miss Dist.(kilometers),Orbit Uncertainity,Minimum Orbit Intersection,Jupiter Tisserand Invariant,Eccentricity,Inclination,Asc Node Longitude,Perihelion Distance,Perihelion Arg,Perihelion Time,Mean Anomaly,Hazardous,Avg_Diameter_KM
57,17.4,36.90278723,46238112.0,0,0.0508661,3.58,0.563978044,53.82827282,38.98727038,0.751523304,114.9699501,2458079.943,325.3972972,0,1.424106986
58,22.1,15.79708507,27445294.0,0,0.0549144,5.293,0.153836991,31.04245161,49.31999677,0.979702043,246.8332903,2458117.764,267.2300401,0,0.1635093595
59,21.6,20.28945338,30440984.0,0,0.0812573,5.01,0.476510033,5.800925368,191.2587797,0.656178296,147.9375113,2458112.46,281.3684519,0,0.20584608799999998
60,20.5,19.85485062,22393042.0,1,0.117551,6.468,0.5265427,20.13021458,38.7816058,0.424378215,334.9806742,2457976.506,27.86736523,0,0.341619472
61,21.0,24.71825521,51248596.0,2,0.00215466,4.092,0.53324626,7.502275136,74.49124208,0.771869078,250.7422433,2457669.893,153.2259945,1,0.271357992
62,22.2,11.39660227,34981784.0,1,0.0499383,5.512,0.498869693,10.78773208,16.98040476,0.551407341,125.979501,2457807.135,165.1195034,0,0.156150226
63,20.6,15.45541989,16406984.0,7,0.0947896,4.044,0.490849799,22.13016643,72.21757892,0.846029713,100.3153715,2457629.305,170.8032502,0,0.3262440625
64,24.4,14.68517642,57902824.0,0,0.021176,5.17,0.189682932,5.565071113,215.9032878,0.999613628,323.5602404,2457831.348,121.6788611,0,0.05669472
65,18.8,19.53617081,51898464.0,2,0.0613713,3.232,0.591282536,28.17732241,95.20300055,0.927620066,158.5215331,2458591.875,189.5306371,0,0.7473819705
66,25.8,4.823898633,60106416.0,6,0.00120536,4.769,0.350066433,0.654497157,214.1302323,0.887767716,119.6465719,2458076.2,313.2636057,0,0.029753811999999998
67,24.3,11.50824853,3868730.5,7,0.0222117,5.054,0.202625296,20.00369553,256.4453283,0.999633119,38.56656344,2458106.355,285.6728098,0,0.0593666605
68,19.6,18.33273398,53124212.0,0,0.0142281,5.208,0.234803202,27.42819291,91.30172769,0.908332239,58.29306828,2457814.672,349.2002761,1,0.5170619945
69,26.2,7.92636157,24354582.0,6,0.00634687,5.537,0.119756633,6.507326871,242.5828956,0.991683894,318.5163366,2458071.889,301.1588143,0,0.0247481435
70,20.8,19.66727897,54831432.0,1,0.113249,6.447,0.299153918,21.03334898,87.57392832,0.639674145,23.616922,2458072.706,278.3844048,0,0.2975381215
71,19.6,18.33270757,53124064.0,0,0.014981,5.208,0.234770561,27.42934757,91.29622834,0.908385427,58.30311252,2457814.668,141.6139707,1,0.5170619945
72,20.616,17.48135593,48423144.0,5,0.317486,5.612,0.405478939,29.97955176,280.3174925,0.63174607,202.1321893,2458183.942,194.9409037,0,0.323849042
73,17.5,16.12549274,45024036.0,0,0.0636542,3.367,0.548401882,3.246143241,213.2863018,1.041709746,98.03956329,2457601.275,112.3129187,0,1.360011613
74,22.0,13.47523501,9816599.0,7,0.0589302,5.364,0.309772347,20.0186282,268.096334,0.79392145,70.13595363,2458052.234,318.6663284,0,0.171215318
75,23.0,4.331719159,14103325.0,5,0.0949569,4.633,0.231820931,7.096661498,253.4295183,1.104939299,18.9283631,2458088.209,309.8889443,0,0.108029562
76,21.5,16.93829897,46137780.0,4,0.0738937,3.5,0.526147419,4.440911302,237.8567753,1.024458882,78.24190435,2458038.03,348.3639763,0,0.21554731500000002
77,16.5,13.11454201,6895954.0,0,0.0436453,7.557,0.339979716,24.92729628,272.692819,0.497117004,156.6239373,2458103.876,204.1265053,1,2.1554731475
78,20.2,11.0655789,73181936.0,0,0.0270542,5.556,0.461492035,18.28352143,246.7509553,0.585434749,256.0421444,2458057.799,310.1782421,1,0.3922316335
79,27.1,12.55217618,18219530.0,1,0.00108035,6.997,0.388447279,5.059664077,166.1544806,0.50803401,319.7961989,2458016.803,338.7787407,0,0.016350936
80,27.2,12.52653474,55870700.0,7,0.00396247,6.385,0.360124157,0.49522171,323.4926065,0.594921626,264.2658161,2458072.033,281.3559795,0,0.015615022999999999
81,21.571,12.83532762,47410376.0,5,0.119136,4.491,0.294842974,6.801303326,56.16673209,1.056712065,259.3072848,2457965.064,19.03910494,0,0.20861359950000002
82,18.7,24.36345562,67884888.0,0,0.00197078,4.054,0.492126625,7.839116849,326.9024686,0.860834483,233.0557394,2457919.652,36.11013318,1,0.7826049975
83,20.6,8.953169059,20690156.0,0,0.0355235,6.454,0.412094837,5.208499322,205.242573,0.537258325,211.1301077,2456372.826,330.2984546,1,0.3262440625
84,18.1,15.59463771,57920168.0,0,0.243876,3.776,0.392904405,19.80151512,90.67146973,1.157839515,235.8207926,2457630.109,138.6044237,0,1.0316743115
85,19.5,31.60773533,61771396.0,0,0.00803028,3.594,0.537495151,38.50091553,124.7942813,0.857697693,237.7160546,2458244.068,264.9401354,1,0.5414303755000001
86,18.7,32.18140575,35621844.0,0,0.22291,5.289,0.79075696,43.56115448,276.4541322,0.222740818,160.1054368,2457979.537,18.81210234,0,0.7826049975
87,18.7,32.18140589,35621840.0,0,0.22291,5.289,0.790756969,43.56115504,276.4541315,0.222740809,160.1054356,2457979.537,18.81210291,0,0.7826049975
88,20.1,18.51752548,48037404.0,0,0.14088,4.574,0.247696643,37.22407109,106.1303161,1.035508781,244.0632687,2457658.844,324.390888,0,0.410716941
89,20.1,31.12855633,71772336.0,1,0.00799405,3.918,0.607312702,0.920945054,317.3928578,0.680868408,228.7276848,2458218.506,265.8872187,1,0.410716941
90,20.2,18.51751945,48037648.0,0,0.141147,4.574,0.247647176,37.22279207,106.124859,1.035614874,244.0608254,2458248.697,208.5269511,0,0.3922316335
91,19.7,26.34786713,55637000.0,1,0.200346,3.568,0.436416168,40.75589996,296.3182957,1.068307863,56.5605408,2457581.929,158.076077,0,0.493790371
92,16.7,20.29179925,60871124.0,0,0.256265,3.427,0.707411423,15.95128044,168.5299865,0.589989988,167.1005289,2458304.369,255.405256,0,1.9658148745
93,17.9,15.34221967,66316588.0,0,0.0451383,5.169,0.2780788,30.12254061,292.475757,0.858775611,84.2046886,2458067.793,308.879961,1,1.131208388
94,23.7,9.830749452,48873616.0,6,0.0752783,6.424,0.222717159,13.08284558,359.7151699,0.719270342,330.5650247,2458031.559,325.6108651,0,0.0782605
95,20.3,15.41407222,72039488.0,2,0.0449381,7.609,0.271073411,19.19763083,358.6587801,0.54826442,347.462346,2458042.556,296.4561445,1,0.374578302
96,20.7,14.69930803,44574208.0,0,0.143015,4.911,0.249441069,14.9755113,119.3113638,0.983258271,267.3785245,2458217.785,217.1735398,0,0.311560661
97,17.5,21.25585067,45663968.0,0,0.0197173,3.356,0.574960298,16.14284854,116.8191316,0.951020639,139.3276944,2458453.145,226.7028231,1,1.360011613
98,20.3,19.8486346,72342576.0,0,0.122189,4.593,0.256806994,37.36069361,118.9617954,1.016350997,305.8884069,2458225.754,221.1766294,0,0.374578302
99,24.1,9.509879717,5849801.5,6,0.00335624,6.997,0.407319308,1.914256662,243.0519125,0.492001659,213.6346689,2458037.143,312.250296,0,0.06509424850000001
100,22.0,16.06106628,73313632.0,1,0.013789,6.449,0.514665143,8.805309987,211.1157355,0.43978349,44.63381586,2458106.755,238.5895015,1,0.171215318
101,27.8,20.48445425,66852456.0,6,0.00229906,4.988,0.296916945,3.648952369,177.7237953,0.905722653,54.57036919,2458044.555,330.3027266,0,0.011845205999999999
102,25.8,19.53492824,54720140.0,6,0.0041285,4.906,0.314229057,27.79521315,334.352604,0.875829788,239.4568281,2457812.928,128.0888493,0,0.029753811999999998
103,20.5,13.20166038,66886804.0,1,0.154706,6.085,0.540517802,11.22419548,128.2836975,0.444952259,358.5166597,2458091.375,266.0102798,0,0.341619472
104,21.0,24.36755481,64415952.0,2,0.164167,5.751,0.592063725,22.48814426,64.94457277,0.416930587,27.71113556,2457920.96,75.8722848,0,0.271357992
105,20.5,14.24794319,29983460.0,2,0.0640277,6.754,0.247892802,14.07363263,303.6194514,0.6537617,241.2457182,2457852.557,179.924266,0,0.341619472
106,26.5,15.4970038,43464572.0,7,0.0200872,6.076,0.194466804,12.93289525,107.3080061,0.799767043,105.9025699,2457830.559,169.3102929,0,0.0215547315
107,19.2,19.88515963,33564184.0,2,0.180276,3.715,0.636478826,12.09592,242.808322,0.671734305,165.6231304,2458249.852,262.1602702,0,0.6216452459999999
108,18.3,3.631631329,36989136.0,0,0.120423,4.57,0.275645196,7.559174,122.4573311,1.058716794,249.7394136,2457753.756,137.6282213,0,0.940898155
109,18.8,10.6702067,70651280.0,0,0.236062,4.729,0.184342662,21.21089365,137.0475227,1.120448295,101.1889164,2458050.991,329.0904802,0,0.7473819705
110,24.7,19.64827271,70551696.0,3,0.0285671,5.865,0.203051046,4.222235016,146.2448747,0.830905112,296.93581,2458180.936,192.9503264,0,0.049379037
111,24.4,15.82831923,49979660.0,6,0.00908397,7.176,0.362341282,14.95651571,206.1288496,0.51300356,327.9460141,2458032.74,315.9645924,0,0.05669472
112,21.2,12.8466218,62941832.0,1,0.138005,5.122,0.172750556,25.78403061,157.2242453,1.009889082,76.36357281,2458195.525,217.4920488,0,0.24748143
113,19.3,20.98692105,71921168.0,1,0.0261387,4.943,0.245349287,34.84177629,149.9465217,0.943275324,309.258656,2457720.011,275.7103215,1,0.5936666015
114,18.2,13.64081603,26301152.0,4,0.183099,2.929,0.58662393,22.63213585,342.2124259,1.181324189,14.05256967,2458761.988,204.6427293,0,0.9852413185
115,25.0,1.444412563,16750804.0,4,0.0448509,5.397,0.108415164,2.294234819,7.634139745,1.041219117,19.27899905,2457870.114,101.8278746,0,0.0430073435
116,19.3,20.98684799,71920712.0,0,0.0287566,4.943,0.245382733,34.84082309,149.942227,0.943171187,309.2546883,2458230.388,197.8474532,1,0.5936666015
117,23.0,12.19944446,51441896.0,6,0.0896811,4.56,0.311335293,13.21059097,270.8048443,1.000383337,127.8868226,2457684.268,178.0213353,0,0.108029562
118,19.9,21.82359578,65705832.0,2,0.0703769,3.725,0.690417545,4.629447664,153.6329594,0.560354232,204.5057853,2457982.891,7.126982341,0,0.4503421705
119,19.5,15.51968958,63934848.0,0,0.229332,5.34,0.554230336,24.46689441,191.2527124,0.500263781,29.44391573,2458125.674,256.2265858,0,0.5414303755000001
120,24.8,5.772196918,60424960.0,5,0.0378689,5.004,0.188922652,0.976628312,45.26691336,1.048481369,190.6591072,2457869.144,88.08560387,0,0.0471566145
121,26.692,5.985693748,30038752.0,3,0.00138825,6.015,0.264053886,1.811674081,185.8691791,0.741199644,100.323037,2457910.969,87.30597168,0,0.019730706
122,21.2,33.01373457,64146424.0,0,0.0443814,2.976,0.742919771,8.947767875,344.1615922,0.651719822,118.2595344,2457387.13,149.7746537,1,0.24748143
123,20.8,12.23303167,37765468.0,5,0.214825,3.914,0.398025538,22.95160411,344.0968674,1.070194767,64.44728661,2457833.432,69.46572316,0,0.2975381215
124,25.187,20.06035265,48875488.0,6,0.0240122,6.825,0.326035794,18.67301195,181.7072083,0.574932886,323.6011374,2458114.158,217.8217198,0,0.039458686
125,19.6,24.43643362,65340896.0,0,0.22486,6.606,0.422455594,32.22691479,29.79498678,0.50262587,187.3922816,2457928.629,87.25022797,0,0.5170619945
126,25.4,8.178060535,18553526.0,6,0.00361704,6.246,0.396835645,1.504765649,9.750383078,0.574749512,127.49003,2457879.218,128.5098086,0,0.03577195
127,20.4,13.99908588,40918004.0,1,0.0511177,6.484,0.514787632,21.09358037,12.96137181,0.433710753,218.6192689,2457927.52,85.11513055,0,0.3577195015
128,19.1,15.47761552,31246566.0,1,0.00672532,3.275,0.71195075,13.3036865,355.4787924,0.626864339,86.23064423,2458259.957,280.3456586,1,0.650942484
129,22.8,10.35388121,15399087.0,6,0.0224851,5.303,0.270634426,6.072461618,10.38189098,0.864591606,81.31956728,2458069.78,307.0930837,0,0.11845206
130,24.5,7.035079264,17480564.0,6,0.025176,6.661,0.24992224,10.8007133,4.523783599,0.664228116,216.0885148,2458096.541,246.40938,0,0.054143037500000005
131,24.4,4.543054195,63164000.0,8,0.0247658,4.545,0.398751214,2.698883026,12.47108402,0.874888031,93.69006032,2450100.317,36.03926311,0,0.05669472
132,26.6,23.69987137,69715352.0,7,0.0242782,7.499,0.3471996,24.78037108,22.38391211,0.49603748,185.4172635,2457910.789,133.4904732,0,0.020584609
133,18.9,34.71873679,56825760.0,0,0.0797107,3.625,0.687215532,27.92413358,30.87949107,0.56764117,104.3815071,2458089.414,324.1549104,0,0.7137442405000001
134,22.3,12.98022659,25918202.0,3,0.0259126,5.372,0.25973232,5.035044226,28.85202161,0.863536992,271.6146744,2457770.913,179.6031186,0,0.149122308
135,19.5,7.54190726,71767928.0,0,0.107051,5.1,0.271942042,14.24516859,98.32819872,0.904480727,169.728133,2457965.665,24.79516197,0,0.5414303755000001
136,18.2,18.15380738,37159120.0,0,0.00221412,5.673,0.194544376,24.83084157,39.13339239,0.861270264,78.20976413,2458150.979,225.8678287,1,0.9852413185
137,24.5,11.28681471,39248196.0,6,0.025664,6.113,0.057337006,11.63229033,357.7895023,0.932457273,306.666111,2457858.76,141.9998844,0,0.054143037500000005
138,22.1,23.72220568,52415584.0,1,0.095436,6.55,0.244817999,35.31551687,195.1507089,0.666153584,187.9551444,2457880.985,142.1815303,0,0.1635093595
139,25.3,11.64611137,44981772.0,6,0.0618104,6.504,0.155414041,13.09120506,252.5344599,0.771325821,344.0916159,2457869.526,147.9107629,0,0.03745783
140,18.3,11.64710673,70112592.0,1,0.013395,6.017,0.468567733,9.91682854,152.4478065,0.525866421,55.04820445,2458083.86,276.5319456,1,0.940898155
141,22.7,10.35324209,31336330.0,6,0.0758499,6.573,0.377101537,14.56422881,231.2389009,0.55589795,327.0394215,2458152.279,182.5608781,0,0.124034533
142,19.9,23.38412318,69361968.0,1,0.076602,4.483,0.407681907,6.850632237,128.1993836,0.876616288,195.7444816,2457880.502,65.68939439,0,0.4503421705
143,19.0,12.13803165,53015068.0,0,0.0338689,4.744,0.400704962,21.59647394,356.5206025,0.803906112,64.62687149,2457993.823,4.235828003,1,0.6816204585000001
144,20.0,21.5761474,36613344.0,5,0.111975,3.343,0.640099449,10.93665153,286.6297806,0.793000341,198.8800732,2458438.593,227.9818462,0,0.430073434
145,21.0,16.50157935,28088220.0,2,0.0679351,6.311,0.275789806,19.74382384,58.63805154,0.67993564,225.5447937,2457930.878,75.43067961,0,0.271357992
146,19.6,13.12160832,54038588.0,0,0.0247891,5.31,0.236580304,25.00778018,57.87465675,0.887135056,240.7970767,2458141.974,248.6885109,1,0.5170619945
147,19.4,7.952404402,40350200.0,1,0.0215286,5.768,0.12904386,15.08972042,215.4436355,0.924256148,61.17301359,2457865.406,301.4816145,1,0.5669472025
148,29.7,19.12628617,70129456.0,7,0.00110619,5.481,0.202206665,1.404650462,221.3622192,0.909378784,297.5330996,2457852.946,119.5014484,0,0.0049379035
149,23.5,6.772455512,26178680.0,3,0.0565851,5.584,0.114046041,7.056519303,192.9525065,0.986879239,284.8134147,2457830.227,142.7481821,0,0.08581093149999999
150,19.4,7.952404476,40350200.0,1,0.020437,5.768,0.129015347,15.09000476,215.4428313,0.924281133,61.1891387,2457865.417,121.7908146,1,0.5669472025
151,21.6,8.976896282,60527156.0,2,0.318512,4.806,0.069501694,15.62269162,233.8821451,1.266291487,84.04221652,2458003.96,357.8516052,0,0.20584608799999998
152,18.3,19.30014962,59412452.0,0,0.0624827,2.71,0.675886922,18.47384237,230.82724,1.049767602,173.8630213,2458609.683,256.9953311,0,0.940898155
153,23.4,11.15252559,58746584.0,6,0.0941106,5.075,0.190053016,20.25673421,260.0125772,1.009738926,293.0934995,2457835.391,116.9081915,0,0.08985507599999999
154,20.2,7.775284323,56671204.0,0,0.119386,5.182,0.15829944,15.73210383,105.7172766,1.027904052,64.90665549,2458070.767,308.6824689,0,0.3922316335
155,26.0,8.454837553,25237628.0,6,0.00283925,4.839,0.284718079,7.992793446,143.3850095,0.960721514,330.4917718,2458177.546,247.8987742,0,0.027135799
156,19.1,4.554434942,64140008.0,0,0.316229,4.166,0.242855735,7.01086758,275.0626715,1.285054806,115.4724428,2458063.839,331.7666356,0,0.650942484
157,17.9,24.07402918,65922180.0,0,0.010566,7.912,0.417926239,7.341854914,82.00123323,0.418218653,167.2965172,2454797.912,241.1948951,1,1.131208388
158,18.8,16.1934694,40229988.0,0,0.143818,4.621,0.448489079,14.83114863,22.05535257,0.77017969,145.6407167,2457955.35,26.96545347,0,0.7473819705
159,20.0,11.31412764,44395812.0,2,0.0331774,6.962,0.282031093,13.89965503,57.8037567,0.601085349,315.1638599,2457864.451,175.046953,1,0.430073434
160,22.1,12.11192691,55947568.0,1,0.0113586,5.9,0.556733701,0.848196059,127.062218,0.44619445,186.8452504,2458094.415,268.3465264,1,0.1635093595
161,18.1,2.429415061,52853080.0,0,0.283318,3.181,0.524053287,3.372346677,178.3192711,1.257992587,278.1657438,2457920.064,18.44912512,0,1.0316743115
162,19.2,25.5086959,32755016.0,0,0.13164,5.195,0.833101194,23.70617095,308.8793229,0.183632346,18.13621485,2458049.287,318.3354906,0,0.6216452459999999
163,23.6,24.87798356,71482464.0,1,0.0316225,6.832,0.341072216,3.137522755,336.6215024,0.564872684,350.6340812,2458144.613,181.0468118,0,0.0819488035
164,19.2,21.15881627,68850944.0,0,0.068965,4.651,0.378963254,15.45109083,58.80709475,0.867168815,139.8445497,2457374.16,135.202708,0,0.6216452459999999
165,17.9,33.92843828,39078284.0,1,0.217108,3.97,0.502936668,52.23787327,124.9900566,0.761600628,9.783093931,2457725.083,143.1272065,0,1.131208388
166,19.2,21.15876284,68850736.0,0,0.0683833,4.651,0.379017074,15.45231677,58.80444934,0.867033787,139.8599009,2457976.839,14.1351501,0,0.6216452459999999
167,22.2,19.41326482,68897200.0,7,0.16521,6.754,0.555383403,31.90611179,338.1601228,0.373960166,341.0891992,2457912.829,112.0207861,0,0.156150226
168,17.9,33.9284383,39078284.0,1,0.217108,3.97,0.502936668,52.23787327,124.9900566,0.761600628,9.783093932,2457725.083,143.1272065,0,1.131208388
169,18.1,24.30225996,55711696.0,0,0.106558,3.327,0.900973153,12.7905741,342.7271352,0.18247746,14.77481047,2458278.17,250.5920558,0,1.0316743115
